title,genre,rating,runtime
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy, Mystery",PG-13,130 min
Shin Godzilla,"Action, Adventure, Drama, Horror, Sci-Fi",Not Rated,120 min
M3GAN 2.0,"Action, Horror, Sci-Fi, Thriller",PG-13,120 min
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",PG-13,179 min
Kothapallilo Okappudu,Drama,No Rating,125 min
F1 The Movie,"Drama, Sport",PG-13,155 min
Leo,"Animation, Comedy, Family, Musical",PG,102 min
The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller",R,112 min
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy, Mystery",PG,161 min
The Court Jester,Comedy,No Rating,10 min
Sonic the Hedgehog 3,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",PG,109 min
Jujutsu Kaisen: Hidden Inventory / Premature Death - The Movie,"Animation, Action/Adventure, Fantasy",No Rating,110 min
Ahmed W Ahmed,Comedy,No Rating,135 min
The Secret Life of Pets,"Adventure, Animation, Comedy, Family",PG,87 min
Abraham's Boys: A Dracula Story,Horror,R,89 min
Minions: The Rise of Gru,"Adventure, Animation, Comedy, Family",PG,87 min
Maalik,"Action, Crime, Drama, Foreign, Thriller",No Rating,152 min
Superman,"Action, Adventure, Fantasy, Sci-Fi",PG-13,129 min
Annabelle Comes Home,"Horror, Mystery, Thriller",R,106 min
The Blues Brothers,"Action, Comedy, Crime, Music, Musical",R,133 min
Tanvi the Great,Drama,No Rating -,
Ekka,"Crime, Drama",No Rating -,
The Lord of the Rings: Return of the King (Extended Edition),"Adventure, Fantasy",No Rating -,
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy, Mystery",PG,142 min
Annabelle: Creation,"Horror, Mystery, Thriller",R,109 min
Kung Fu Panda 4,"Action, Adventure, Animation, Comedy, Family, Fantasy",PG,94 min
Ballerina,"Action, Thriller",R,126 min
Kingdom,"Action, Drama, Thriller, War",No Rating -,
Skillhouse,Horror,No Rating,99 min
Mission: Impossible - The Final Reckoning,"Action, Adventure, Thriller",PG-13,169 min
The Angry Birds Movie 2,"Action, Adventure, Animation, Comedy, Family",PG,104 min
The Garfield Movie,Animation,PG,101 min
Maareesan,"Comedy, Drama, Thriller",No Rating -,
Jurassic World Rebirth,"Action, Adventure, Sci-Fi, Thriller",PG-13,133 min
Harry Potter and the Half-Blood Prince,"Adventure, Family, Fantasy, Mystery",PG,153 min
Don't Let's Go To The Dogs Tonight,Drama,R,98 min
Shrek,"Adventure, Animation, Comedy, Family, Fantasy",PG,90 min
Smurfs,"Adventure, Animation, Comedy, Family, Fantasy, Musical",PG,92 min
The Conjuring 2: The Enfield Poltergeist,"Horror, Mystery, Thriller",R,134 min
The Lord of the Rings: The Fellowship of the Ring - Extended Edition,"Adventure, Drama, Fantasy",PG-13,178 min
Despicable Me 4,Animation,PG,94 min
The Lego Batman Movie,"Action, Adventure, Animation, Comedy, Family, Fantasy",PG,104 min
Migration,"Adventure, Animation, Comedy, Family, Fantasy",PG,91 min
I Know What You Did Last Summer,Horror,R,111 min
The Nun II,"Horror, Mystery, Thriller",R,110 min
Eddington,"Comedy, Drama, Western",R,148 min
Batman Forever (1995),"Action, Adventure, Fantasy, Romance",PG-13,121 min
28 Years Later,"Horror, Thriller",R,115 min
Guns Up,"Action, Comedy",R,92 min
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy, Mystery",PG-13,157 min
Saiyaara,"Foreign, Romance",No Rating,180 min
Sarbala Ji,"Drama, Action/Adventure",No Rating,150 min
How to Train Your Dragon,"Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",PG,125 min
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",PG,152 min
Leatherheads,"Comedy, Drama, Romance, Sport",PG-13,114 min
Shrek 2,"Adventure, Animation, Comedy, Family, Fantasy, Romance",PG,93 min
Elio,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Sci-Fi",PG,99 min
Lilo & Stitch,"Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",PG,108 min
The Wild Robot,"Adventure, Animation, Comedy, Drama, Family, Sci-Fi",PG,102 min
Harry Potter and the Order of the Phoenix,"Adventure, Family, Fantasy, Mystery",PG-13,138 min
The Conjuring,"Horror, Mystery, Thriller",R,112 min
Trolls Band Together,"Adventure, Animation, Comedy, Family, Fantasy, Music",PG,91 min
Annabelle,"Horror, Mystery, Thriller",R,99 min
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,PG,99 min
Stans,Documentary,No Rating -,
The Nun,"Horror, Mystery, Thriller",R,96 min
Junior,"Drama, Foreign",No Rating -,
Sitaare Zameen Par,"Comedy, Drama, Sport",No Rating,155 min
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy, Mystery",PG-13,146 min
Sing 2,"Adventure, Animation, Comedy, Family, Musical",PG,110 min
